Size-Vector Network.nodeTx.queue (#0 - General-0-20240511-20:31:18-88690),
0.198968626141,1
0.198968626141,0
0.423608723262,1
0.423608723262,0
0.737591412774,1
0.737591412774,0
1.202492465793,1
1.202492465793,0
1.433298248661,1
1.433298248661,0
1.921184582632,1
1.921184582632,0
2.117984867627,1
2.117984867627,0
2.587725881178,1
2.587725881178,0
2.725488002846,1
2.725488002846,0
2.969739609444,1
2.969739609444,0
3.22927943461,1
3.22927943461,0
3.35056147554,1
3.35056147554,0
3.494441274761,1
3.494441274761,0
3.582731059545,1
3.594441274761,0
4.138612165054,1
4.138612165054,0
4.153208332327,1
4.238612165054,0
4.981936402309,1
4.981936402309,0
5.061525437519,1
5.081936402309,0
5.182425963756,1
5.182425963756,0
5.344787550819,1
5.344787550819,0
5.737011580225,1
5.737011580225,0
6.155064380306,1
6.155064380306,0
6.343232908634,1
6.343232908634,0
6.506703550439,1
6.506703550439,0
6.716561763664,1
6.716561763664,0
6.841279765918,1
6.841279765918,0
7.49084328738,1
7.49084328738,0
7.942935603449,1
7.942935603449,0
7.961356942315,1
8.042935603449,0
8.064251441376,1
8.087041697907,2
8.142935603449,1
8.242935603449,0
8.348194824984,1
8.348194824984,0
8.353301222084,1
8.448194824984,0
8.468113256398,1
8.548194824984,0
8.914985172258,1
8.914985172258,0
9.702527654427,1
9.702527654427,0
10.078973719086,1
10.078973719086,0
10.116781432502,1
10.178973719086,0
10.626859996987,1
10.626859996987,0
11.137083050965,1
11.137083050965,0
12.09838851825,1
12.09838851825,0
12.25881581142,1
12.25881581142,0
12.660125700685,1
12.660125700685,0
13.063626219408,1
13.063626219408,0
13.218358584315,1
13.218358584315,0
13.402099689612,1
13.402099689612,0
13.78123368311,1
13.78123368311,0
14.065218418538,1
14.065218418538,0
14.096687020898,1
14.165218418538,0
14.415493946454,1
14.415493946454,0
14.670851915041,1
14.670851915041,0
14.888932213802,1
14.888932213802,0
14.927614633927,1
14.988932213802,0
15.120323298544,1
15.120323298544,0
15.843928418041,1
15.843928418041,0
16.199269588064,1
16.199269588064,0
16.383726411003,1
16.383726411003,0
16.411712951161,1
16.483726411003,0
16.545604381218,1
16.583726411003,0
16.706028056726,1
16.706028056726,0
16.782848144764,1
16.806028056726,0
16.834398965272,1
16.906028056726,0
17.20646267171,1
17.20646267171,0
17.540285217866,1
17.540285217866,0
17.692555823662,1
17.692555823662,0
17.753567946346,1
17.792555823662,0
17.963651622749,1
17.963651622749,0
17.999971129572,1
18.004713271872,2
18.063651622749,1
18.102655974541,2
18.163651622749,1
18.263651622749,0
18.343001209307,1
18.363651622749,0
18.383535331668,1
18.463651622749,0
18.620284500962,1
18.620284500962,0
18.683144983981,1
18.720284500962,0
18.923031978323,1
18.923031978323,0
19.04517124065,1
19.04517124065,0
19.764649995969,1
19.764649995969,0
20.346878339523,1
20.346878339523,0
20.633163078198,1
20.633163078198,0
20.782599597403,1
20.782599597403,0
20.893979221166,1
20.893979221166,0
21.13135286704,1
21.13135286704,0
21.274985968725,1
21.274985968725,0
21.856573734149,1
21.856573734149,0
22.155600684013,1
22.155600684013,0
22.181740990457,1
22.197269813074,2
22.255600684013,1
22.355600684013,0
23.072323234188,1
23.072323234188,0
23.347051351076,1
23.347051351076,0
23.611759883948,1
23.611759883948,0
23.88940924537,1
23.88940924537,0
23.936265761874,1
23.98940924537,0
23.995317438395,1
24.08940924537,0
24.10616844555,1
24.140675617657,2
24.18940924537,1
24.28940924537,0
24.487936290105,1
24.487936290105,0
24.582676781176,1
24.587936290105,0
24.816692171119,1
24.816692171119,0
24.929717686175,1
24.929717686175,0
25.027995825501,1
25.029717686175,0
25.239102773883,1
25.239102773883,0
25.248898562986,1
25.339102773883,0
25.393229640688,1
25.439102773883,0
25.64469739198,1
25.64469739198,0
26.758321603524,1
26.758321603524,0
27.556558264037,1
27.556558264037,0
27.583467041076,1
27.656558264037,0
27.847923644414,1
27.847923644414,0
27.906499024108,1
27.947923644414,0
28.158503835463,1
28.158503835463,0
28.202482221819,1
28.258503835463,0
29.54250730938,1
29.54250730938,0
29.807192988154,1
29.807192988154,0
30.02517195156,1
30.02517195156,0
30.098192084877,1
30.12517195156,0
30.231958254148,1
30.231958254148,0
30.388943649396,1
30.388943649396,0
30.549888899797,1
30.549888899797,0
30.619958151917,1
30.649888899797,0
30.864174170435,1
30.864174170435,0
30.907456034472,1
30.964174170435,0
31.010581341953,1
31.039820194401,2
31.064174170435,1
31.164174170435,0
31.320612269784,1
31.320612269784,0
31.587630319071,1
31.587630319071,0
31.683019279915,1
31.687630319071,0
31.720197347228,1
31.787630319071,0
32.096856180546,1
32.096856180546,0
32.151576329673,1
32.196856180546,0
32.898373802636,1
32.898373802636,0
33.013377292071,1
33.013377292071,0
33.284944637291,1
33.284944637291,0
33.71502755172,1
33.71502755172,0
33.718443696328,1
33.743979916709,2
33.81502755172,1
33.91502755172,0
33.987755400248,1
34.01502755172,0
34.442710130069,1
34.442710130069,0
34.722663721507,1
34.722663721507,0
34.747922415334,1
34.822663721507,0
35.64131950842,1
35.64131950842,0
36.578577373316,1
36.578577373316,0
37.104907698514,1
37.104907698514,0
37.262991847613,1
37.262991847613,0
37.441137745946,1
37.441137745946,0
38.381619567072,1
38.381619567072,0
38.395951298678,1
38.481619567072,0
38.628070922903,1
38.628070922903,0
38.778057644563,1
38.778057644563,0
39.114118962601,1
39.114118962601,0
39.119166494638,1
39.129160569403,2
39.214118962601,1
39.27488016662,2
39.314118962601,1
39.357982726861,2
39.414118962601,1
39.514118962601,0
40.330875257572,1
40.330875257572,0
40.3628894489,1
40.430875257572,0
40.47424431438,1
40.530875257572,0
40.562038336725,1
40.630875257572,0
40.725949907816,1
40.730875257572,0
40.757547066922,1
40.830875257572,0
41.049265448559,1
41.049265448559,0
41.144940685774,1
41.149265448559,0
41.675999985024,1
41.675999985024,0
41.809721078963,1
41.809721078963,0
42.435699024734,1
42.435699024734,0
42.452273375105,1
42.513372237125,2
42.535699024734,1
42.635699024734,0
42.808169618891,1
42.808169618891,0
43.016380497908,1
43.016380497908,0
43.225404880901,1
43.225404880901,0
43.726215011528,1
43.726215011528,0
43.803318721552,1
43.826215011528,0
43.981130705856,1
43.981130705856,0
44.166320443468,1
44.166320443468,0
44.787716032712,1
44.787716032712,0
44.812378609817,1
44.887716032712,0
45.447454736807,1
45.447454736807,0
45.661928647076,1
45.661928647076,0
45.683621267661,1
45.761928647076,0
46.34593524983,1
46.34593524983,0
46.427270353712,1
46.44593524983,0
46.523160407237,1
46.525510594903,2
46.54593524983,1
46.64593524983,0
46.800722072426,1
46.800722072426,0
47.262553985176,1
47.262553985176,0
47.297886663566,1
47.362553985176,0
47.558331827111,1
47.558331827111,0
47.873315279638,1
47.873315279638,0
48.33363589751,1
48.33363589751,0
48.419049439267,1
48.43363589751,0
48.495928870208,1
48.53363589751,0
48.54651647985,1
48.63363589751,0
48.673316510664,1
48.73363589751,0
48.894098771154,1
48.894098771154,0
49.095298121104,1
49.095298121104,0
49.100376235803,1
49.145439298799,2
49.195298121104,1
49.295298121104,0
49.586874566902,1
49.586874566902,0
49.702307290913,1
49.702307290913,0
49.703483926036,1
49.743069302594,2
49.802307290913,1
49.902307290913,0
50.026227838087,1
50.026227838087,0
50.236998596124,1
50.236998596124,0
50.315679011338,1
50.336998596124,0
50.619806174697,1
50.619806174697,0
50.951995643135,1
50.951995643135,0
51.037082327694,1
51.051995643135,0
51.855868122123,1
51.855868122123,0
51.997844160493,1
51.997844160493,0
52.06934940362,1
52.097844160493,0
52.422105505944,1
52.422105505944,0
52.636703747901,1
52.636703747901,0
52.762789699548,1
52.762789699548,0
52.986937417244,1
52.986937417244,0
53.552870811209,1
53.552870811209,0
53.7651760141,1
53.7651760141,0
54.019840696605,1
54.019840696605,0
54.082945694828,1
54.119840696605,0
54.638322419447,1
54.638322419447,0
55.401392833668,1
55.401392833668,0
55.686294824551,1
55.686294824551,0
55.834450831414,1
55.834450831414,0
55.983545679996,1
55.983545679996,0
56.45191064996,1
56.45191064996,0
57.412662295771,1
57.412662295771,0
57.713221937583,1
57.713221937583,0
57.744103599424,1
57.813221937583,0
57.832358632743,1
57.913221937583,0
58.196563272384,1
58.196563272384,0
58.61679382352,1
58.61679382352,0
58.749474447674,1
58.749474447674,0
58.875729134613,1
58.875729134613,0
59.157049638824,1
59.157049638824,0
59.689424487841,1
59.689424487841,0
59.761277106859,1
59.789424487841,0
59.978911063441,1
59.978911063441,0
60.072845774043,1
60.078911063441,0
60.606553386539,1
60.606553386539,0
61.447645999802,1
61.447645999802,0
61.742491733213,1
61.742491733213,0
61.964457085822,1
61.964457085822,0
62.287434403022,1
62.287434403022,0
62.556893124056,1
62.556893124056,0
62.730842989281,1
62.730842989281,0
62.921309932105,1
62.921309932105,0
63.70267702152,1
63.70267702152,0
63.768191331939,1
63.80267702152,0
64.0263905846,1
64.0263905846,0
64.151968284165,1
64.151968284165,0
64.289817281699,1
64.289817281699,0
64.530930673072,1
64.530930673072,0
64.764031393174,1
64.764031393174,0
64.925057570255,1
64.925057570255,0
64.929902515592,1
65.025057570255,0
65.0886844445,1
65.125057570255,0
65.178416248467,1
65.225057570255,0
65.493177127783,1
65.493177127783,0
65.763007177447,1
65.763007177447,0
65.847923360593,1
65.863007177447,0
65.933573266768,1
65.963007177447,0
66.054482188415,1
66.063007177447,0
66.295075952358,1
66.295075952358,0
66.640820753992,1
66.640820753992,0
