Size-Vector Network.nodeRx.queue (#0 - General-0-20240511-20:31:18-88690),
0.399168626141,1
0.399168626141,0
0.623808723262,1
0.623808723262,0
0.937791412774,1
0.937791412774,0
1.402692465793,1
1.402692465793,0
1.633498248661,1
1.633498248661,0
2.121384582632,1
2.121384582632,0
2.318184867627,1
2.321384582632,0
2.787925881178,1
2.787925881178,0
2.925688002846,1
2.987925881178,0
3.169939609444,1
3.187925881178,0
3.42947943461,1
3.42947943461,0
3.55076147554,1
3.62947943461,0
3.694641274761,1
3.794641274761,2
3.82947943461,1
4.02947943461,0
4.338812165054,1
4.338812165054,0
4.438812165054,1
4.538812165054,0
5.182136402309,1
5.182136402309,0
5.282136402309,1
5.382136402309,0
5.382625963756,1
5.544987550819,2
5.582136402309,1
5.782136402309,0
5.937211580225,1
5.982136402309,0
6.355264380306,1
6.355264380306,0
6.543432908634,1
6.555264380306,0
6.706903550439,1
6.755264380306,0
6.916761763664,1
6.955264380306,0
7.041479765918,1
7.155264380306,0
7.69104328738,1
7.69104328738,0
8.143135603449,1
8.143135603449,0
8.243135603449,1
8.343135603449,0
8.343135603449,1
8.443135603449,2
8.543135603449,1
8.548394824984,2
8.648394824984,3
8.743135603449,2
8.748394824984,3
8.943135603449,2
9.115185172258,3
9.143135603449,2
9.343135603449,1
9.543135603449,0
9.902727654427,1
9.902727654427,0
10.279173719086,1
10.279173719086,0
10.379173719086,1
10.479173719086,0
10.827059996987,1
10.827059996987,0
11.337283050965,1
11.337283050965,0
12.29858851825,1
12.29858851825,0
12.45901581142,1
12.49858851825,0
12.860325700685,1
12.860325700685,0
13.263826219408,1
13.263826219408,0
13.418558584315,1
13.463826219408,0
13.602299689612,1
13.663826219408,0
13.98143368311,1
13.98143368311,0
14.265418418538,1
14.265418418538,0
14.365418418538,1
14.465418418538,0
14.615693946454,1
14.665418418538,0
14.871051915041,1
14.871051915041,0
15.089132213802,1
15.089132213802,0
15.189132213802,1
15.289132213802,0
15.320523298544,1
15.489132213802,0
16.044128418041,1
16.044128418041,0
16.399469588064,1
16.399469588064,0
16.583926411003,1
16.599469588064,0
16.683926411003,1
16.783926411003,2
16.799469588064,1
16.906228056726,2
16.999469588064,1
17.006228056726,2
17.106228056726,3
17.199469588064,2
17.399469588064,1
17.40666267171,2
17.599469588064,1
17.740485217866,2
17.799469588064,1
17.892755823662,2
17.992755823662,3
17.999469588064,2
18.163851622749,3
18.199469588064,2
18.263851622749,3
18.363851622749,4
18.399469588064,3
18.463851622749,4
18.563851622749,5
18.599469588064,4
18.663851622749,5
18.799469588064,4
18.820484500962,5
18.920484500962,6
18.999469588064,5
19.123231978323,6
19.199469588064,5
19.24537124065,6
19.399469588064,5
19.599469588064,4
19.799469588064,3
19.964849995969,4
19.999469588064,3
20.199469588064,2
20.399469588064,1
20.547078339523,2
20.599469588064,1
20.799469588064,0
20.833363078198,1
20.982799597403,2
20.999469588064,1
21.094179221166,2
21.199469588064,1
21.33155286704,2
21.399469588064,1
21.475185968725,2
21.599469588064,1
21.799469588064,0
22.056773734149,1
22.056773734149,0
22.355800684013,1
22.355800684013,0
22.455800684013,1
22.555800684013,0
22.555800684013,1
22.755800684013,0
23.272523234188,1
23.272523234188,0
23.547251351076,1
23.547251351076,0
23.811959883948,1
23.811959883948,0
24.08960924537,1
24.08960924537,0
24.18960924537,1
24.28960924537,0
24.28960924537,1
24.38960924537,2
24.48960924537,1
24.48960924537,2
24.688136290105,3
24.68960924537,2
24.788136290105,3
24.88960924537,2
25.016892171119,3
25.08960924537,2
25.129917686175,3
25.229917686175,4
25.28960924537,3
25.439302773883,4
25.48960924537,3
25.539302773883,4
25.639302773883,5
25.68960924537,4
25.84489739198,5
25.88960924537,4
26.08960924537,3
26.28960924537,2
26.48960924537,1
26.68960924537,0
26.958521603524,1
26.958521603524,0
27.756758264037,1
27.756758264037,0
27.856758264037,1
27.956758264037,0
28.048123644414,1
28.148123644414,2
28.156758264037,1
28.356758264037,0
28.358703835463,1
28.458703835463,2
