bufferSize Network.nodeTx.traTx (#0 - General-0-20240516-22:37:07-4866),
0.596905878424,0
0.596905878424,1
0.596905878424,1
0.696905878424,0
1.270826169787,0
1.270826169787,1
1.270826169787,1
1.370826169787,0
2.212774238323,0
2.212774238323,1
2.212774238323,1
2.312774238323,0
3.607477397379,0
3.607477397379,1
3.607477397379,1
3.707477397379,0
4.299894745982,0
4.299894745982,1
4.299894745982,1
4.399894745982,0
5.763553747895,0
5.763553747895,1
5.763553747895,1
5.863553747895,0
6.353954602881,0
6.353954602881,1
6.353954602881,1
6.453954602881,0
7.763177643533,0
7.763177643533,1
7.763177643533,1
7.863177643533,0
8.176464008536,0
8.176464008536,1
8.176464008536,1
8.276464008536,0
8.909218828331,0
8.909218828331,1
8.909218828331,1
9.009218828331,0
9.687838303829,0
9.687838303829,1
9.687838303829,1
9.787838303829,0
10.05168442662,0
10.05168442662,1
10.05168442662,1
10.15168442662,0
10.483323824282,0
10.483323824282,1
10.483323824282,1
10.583323824282,0
10.748193178635,0
10.748193178635,1
10.748193178635,1
10.848193178635,0
12.415836495162,0
12.415836495162,1
12.415836495162,1
12.459624996982,0
12.459624996982,1
12.515836495162,1
12.615836495162,0
14.945809206928,0
14.945809206928,1
14.945809206928,1
15.045809206928,0
15.184576312559,0
15.184576312559,1
15.184576312559,1
15.284576312559,0
15.54727789127,0
15.54727789127,1
15.54727789127,1
15.64727789127,0
16.034362652458,0
16.034362652458,1
16.034362652458,1
16.134362652458,0
17.211034740675,0
17.211034740675,1
17.211034740675,1
17.311034740675,0
18.465193140919,0
18.465193140919,1
18.465193140919,1
18.565193140919,0
19.029698725904,0
19.029698725904,1
19.029698725904,1
19.129698725904,0
19.52011065132,0
19.52011065132,1
19.52011065132,1
19.62011065132,0
20.149685290995,0
20.149685290995,1
20.149685290995,1
20.249685290995,0
20.523839297757,0
20.523839297757,1
20.523839297757,1
20.623839297757,0
22.472529862144,0
22.472529862144,1
22.472529862144,1
22.572529862144,0
23.82880681035,0
23.82880681035,1
23.82880681035,1
23.884070826949,0
23.884070826949,1
23.92880681035,1
24.02880681035,0
24.192754324131,0
24.192754324131,1
24.192754324131,1
24.261125093724,0
24.261125093724,1
24.292754324131,1
24.392754324131,0
25.044584474955,0
25.044584474955,1
25.044584474955,1
25.059903666254,0
25.059903666254,1
25.144584474955,1
25.244584474955,0
25.404339769195,0
25.404339769195,1
25.404339769195,1
25.504339769195,0
26.744955516774,0
26.744955516774,1
26.744955516774,1
26.844955516774,0
29.107582963281,0
29.107582963281,1
29.107582963281,1
29.207582963281,0
30.236921157259,0
30.236921157259,1
30.236921157259,1
30.336921157259,0
30.350344297508,0
30.350344297508,1
30.350344297508,1
30.450344297508,0
