Size-Vector Network.nodeTx.queue (#0 - General-0-20240511-21:17:09-90529),
0.795874504566,1
0.795874504566,0
1.69443489305,1
1.69443489305,0
2.950365651097,1
2.950365651097,0
4.809969863172,1
4.809969863172,0
5.733192994643,1
5.733192994643,0
7.684738330527,1
7.684738330527,0
8.471939470509,1
8.471939470509,0
10.350903524712,1
10.350903524712,0
10.901952011382,1
10.901952011382,0
11.878958437775,1
11.878958437775,0
12.917117738439,1
12.917117738439,0
13.402245902161,1
13.402245902161,0
13.977765099044,1
13.977765099044,0
14.330924238182,1
14.330924238182,0
16.554448660218,1
16.554448660218,0
16.612833329311,1
16.654448660218,0
19.927745609239,1
19.927745609239,0
20.246101750081,1
20.246101750081,0
20.729703855029,1
20.729703855029,0
21.37915020328,1
21.37915020328,0
22.948046320903,1
22.948046320903,0
24.620257521228,1
24.620257521228,0
25.372931634541,1
25.372931634541,0
26.026814201762,1
26.026814201762,0
26.866247054662,1
26.866247054662,0
27.365119063678,1
27.365119063678,0
29.963373149527,1
29.963373149527,0
31.771742413802,1
31.771742413802,0
31.845427769267,1
31.871742413802,0
32.25700576551,1
32.25700576551,0
32.348166791634,1
32.35700576551,0
33.392779299942,1
33.392779299942,0
33.413204888341,1
33.492779299942,0
33.872453025596,1
33.872453025596,0
35.659940689035,1
35.659940689035,0
38.810110617711,1
38.810110617711,0
40.315894876348,1
40.315894876348,0
40.467125730013,1
40.467125730013,0
42.507439987955,1
42.507439987955,0
44.548332203867,1
44.548332203867,0
48.393554073009,1
48.393554073009,0
49.035263245687,1
49.035263245687,0
50.640502802749,1
50.640502802749,0
52.254504877642,1
52.254504877642,0
52.873434337269,1
52.873434337269,0
53.608398758459,1
53.608398758459,0
55.124934732449,1
55.124934732449,0
56.260873674159,1
56.260873674159,0
56.386748083597,1
56.386748083597,0
57.661975785821,1
57.661975785821,0
58.68340766017,1
58.68340766017,0
59.555728855212,1
59.555728855212,0
59.710458535712,1
59.710458535712,0
60.481293194179,1
60.481293194179,0
63.375713672166,1
63.375713672166,0
64.79707835226,1
64.79707835226,0
65.534905644016,1
65.534905644016,0
65.646851804649,1
65.646851804649,0
66.182417524877,1
66.182417524877,0
66.824112226908,1
66.824112226908,0
67.131392579061,1
67.131392579061,0
67.337595861091,1
67.337595861091,0
68.825850686843,1
68.825850686843,0
70.161140871467,1
70.161140871467,0
70.77022329465,1
70.77022329465,0
71.014271785387,1
71.014271785387,0
71.854606490999,1
71.854606490999,0
71.999884518291,1
71.999884518291,0
72.018853087492,1
72.099884518291,0
72.410623898169,1
72.410623898169,0
73.372004837235,1
73.372004837235,0
73.534141326681,1
73.534141326681,0
74.481138003856,1
74.481138003856,0
74.732579935931,1
74.732579935931,0
75.692127913299,1
75.692127913299,0
76.180684962607,1
76.180684962607,0
79.058599983885,1
79.058599983885,0
81.387513358099,1
81.387513358099,0
82.532652312799,1
82.532652312799,0
83.130398389617,1
83.130398389617,0
83.575916884668,1
83.575916884668,0
84.525411468165,1
84.525411468165,0
85.099943874906,1
85.099943874906,0
87.4262949366,1
87.4262949366,0
88.622402736057,1
88.622402736057,0
88.726963961832,1
88.726963961832,0
88.789079252298,1
88.826963961832,0
92.289292936753,1
92.289292936753,0
93.388205404304,1
93.388205404304,0
94.447039535792,1
94.447039535792,0
95.557636981479,1
95.557636981479,0
95.745063047497,1
95.745063047497,0
95.98126975358,1
95.98126975358,0
96.424673782201,1
96.424673782201,0
96.562702470629,1
96.562702470629,0
97.95174516042,1
97.95174516042,0
98.330707124703,1
98.330707124703,0
99.266768684474,1
99.266768684474,0
99.718870744699,1
99.718870744699,0
100.111983302003,1
100.111983302003,0
100.956411095531,1
100.956411095531,0
100.995594251944,1
101.056411095531,0
101.572918562751,1
101.572918562751,0
102.578789567918,1
102.578789567918,0
107.033286414094,1
107.033286414094,0
110.226233056148,1
110.226233056148,0
110.333868164304,1
110.333868164304,0
111.391694577656,1
111.391694577656,0
111.625996096432,1
111.625996096432,0
112.634015341852,1
112.634015341852,0
112.809928887278,1
112.809928887278,0
118.170029237521,1
118.170029237521,0
119.228771952615,1
119.228771952615,0
120.100687806241,1
120.100687806241,0
120.392768339508,1
120.392768339508,0
120.927833016591,1
120.927833016591,0
121.555774597582,1
121.555774597582,0
122.199555599185,1
122.199555599185,0
122.479832607664,1
122.479832607664,0
123.456696681735,1
123.456696681735,0
123.629824137881,1
123.629824137881,0
124.042325367803,1
124.042325367803,0
124.159280777595,1
124.159280777595,0
125.282449079128,1
125.282449079128,0
126.350521276278,1
126.350521276278,0
126.732077119652,1
126.732077119652,0
126.880789388904,1
126.880789388904,0
128.387424722177,1
128.387424722177,0
128.606305318684,1
128.606305318684,0
131.593495210536,1
131.593495210536,0
132.053509168276,1
132.053509168276,0
133.139778549154,1
133.139778549154,0
134.860110206871,1
134.860110206871,0
134.873774785302,1
134.960110206871,0
134.975919666827,1
135.060110206871,0
135.951021600983,1
135.951021600983,0
137.770840520267,1
137.770840520267,0
138.890654886021,1
138.890654886021,0
138.99168966133,1
138.99168966133,0
142.565278033674,1
142.565278033674,0
146.314309493258,1
146.314309493258,0
148.41963079405,1
148.41963079405,0
149.051967390446,1
149.051967390446,0
149.764550983779,1
149.764550983779,0
153.526478268283,1
153.526478268283,0
153.583805194707,1
153.626478268283,0
154.512283691608,1
154.512283691608,0
155.112230578249,1
155.112230578249,0
156.456475850401,1
156.456475850401,0
156.476665978547,1
156.516642277605,2
156.556475850401,1
156.656475850401,0
157.099520666472,1
157.099520666472,0
157.431930907436,1
157.431930907436,0
161.323501030281,1
161.323501030281,0
161.451557795592,1
161.451557795592,0
161.896977257512,1
161.896977257512,0
162.248153346893,1
162.248153346893,0
162.903799631257,1
162.903799631257,0
163.030188267682,1
163.030188267682,0
164.197061794231,1
164.197061794231,0
164.579762743093,1
164.579762743093,0
166.703999940095,1
166.703999940095,0
167.238884315852,1
167.238884315852,0
169.742796098937,1
169.742796098937,0
169.809093500419,1
169.842796098937,0
170.053488948501,1
170.053488948501,0
171.232678475566,1
171.232678475566,0
172.065521991632,1
172.065521991632,0
172.901619523602,1
172.901619523602,0
174.904860046109,1
174.904860046109,0
175.213274886207,1
175.213274886207,0
175.924522823424,1
175.924522823424,0
176.665281773871,1
176.665281773871,0
179.150864130848,1
179.150864130848,0
179.249514439266,1
179.250864130848,0
181.789818947225,1
181.789818947225,0
182.647714588299,1
182.647714588299,0
182.734485070639,1
182.747714588299,0
185.383740999315,1
185.383740999315,0
185.709081414844,1
185.709081414844,0
186.092641628943,1
186.092641628943,0
186.102042379607,1
186.192641628943,0
187.202888289698,1
187.202888289698,0
189.0502159407,1
189.0502159407,0
189.191546654261,1
189.191546654261,0
190.23332730844,1
190.23332730844,0
191.493261118549,1
191.493261118549,0
193.334543590036,1
193.334543590036,0
193.676197757062,1
193.676197757062,0
193.983715480824,1
193.983715480824,0
194.186065919391,1
194.186065919391,0
194.693266042648,1
194.693266042648,0
195.576395084607,1
195.576395084607,0
196.381192484408,1
196.381192484408,0
196.401504943204,1
196.481192484408,0
196.581757195189,1
196.581757195189,0
198.347498267602,1
198.347498267602,0
198.809229163646,1
198.809229163646,0
198.813935704138,1
198.909229163646,0
198.972277210369,1
199.009229163646,0
