BufferSizeQueue Network.nodeRx.traRx (#0 - General-0-20240516-22:36:07-4797),
0.598137252283,1
1.047417446525,1
1.675382825549,1
2.605184931586,1
3.066796497321,1
4.042569165263,1
4.436169735254,1
5.375651762355,1
5.65117600569,1
6.139679218887,1
6.658758869219,1
6.90132295108,1
7.189082549521,1
7.36566211909,1
8.477424330108,1
8.577424330108,1
10.164072804619,1
10.32325087504,1
10.565051927514,1
10.889775101639,1
11.674223160451,1
12.510328760613,1
12.886665817269,1
13.21360710088,1
13.63332352733,1
13.882759531838,1
15.181886574762,1
16.086071206899,1
16.186071206899,1
16.328702882753,1
16.428702882753,2
16.896589649969,1
16.996589649969,1
17.136426512797,1
18.030170344516,1
19.605255308854,1
20.358147438173,1
20.458147438173,1
21.453919993976,1
22.474366101932,1
24.396977036503,1
24.717831622842,1
25.520451401373,1
26.327452438819,1
26.636917168632,1
27.004399379227,1
27.762667366222,1
28.330636837077,1
28.430636837077,1
29.031187892908,1
29.541903830083,1
29.978064427604,1
30.078064427604,1
30.440846597088,1
31.888056836082,1
32.598739176129,1
32.967652822007,1
33.067652822007,1
33.291408762437,1
33.612256113453,1
33.765896289529,1
33.868997930544,1
34.61312534342,1
35.280770435732,1
35.585311647324,1
35.707335892692,1
36.127503245498,1
36.227503245498,1
36.327503245498,1
36.427503245498,2
36.886202418616,1
36.986202418616,1
37.440769001926,1
37.566489967963,1
38.046263956647,1
38.290542481301,1
39.72949999194,1
40.893956679047,1
41.466526156397,1
41.765399194806,1
41.988158442332,1
42.46290573408,1
42.750171937451,1
43.913347468298,1
44.511401368027,1
44.611401368027,1
44.711401368027,1
46.344846468375,1
46.89430270215,1
47.423719767894,1
47.979018490738,1
48.079018490738,1
48.190834876788,1
48.412536891098,1
48.512536891098,2
49.176072580208,1
49.365553562349,1
49.833584342235,1
50.059635372347,1
50.256191650999,1
50.678405547763,1
50.778405547763,1
50.986659281373,1
51.489594783956,1
53.716843207044,1
55.313316528071,1
55.413316528071,1
55.896047288825,1
56.013198048213,1
56.517207670923,1
56.617207670923,1
59.285214618758,1
59.814585976305,1
60.250543903118,1
60.396584169752,1
60.664116508294,1
60.97808729879,1
61.299977799591,1
61.44011630383,1
61.928548340865,1
62.028548340865,1
62.221362683899,1
62.321362683899,2
62.841424539562,1
63.375460638137,1
63.566238559824,1
63.666238559824,1
64.393912361086,1
64.50335265934,1
65.996947605266,1
66.226954584136,1
66.770089274575,1
67.630255103433,1
67.730255103433,1
67.830255103433,1
68.175710800488,1
69.08562026013,1
69.645527443007,1
69.745527443007,1
71.482839016833,1
73.357354746625,1
74.410015397021,1
74.726183695219,1
75.082475491886,1
76.963439134138,1
77.063439134138,1
77.456341845801,1
77.756315289122,1
78.428437925198,1
78.528437925198,1
78.628437925198,1
78.749960333233,2
78.916165453715,2
80.861950515138,1
80.961950515138,1
81.148688628754,1
81.324276673445,1
81.652099815627,1
81.752099815627,1
82.298730897114,1
82.490081371545,1
83.552199970046,1
83.819642157924,1
85.071598049467,1
85.171598049467,1
85.271598049467,1
85.816539237782,1
86.232960995815,1
86.6510097618,1
87.652630023054,1
87.806837443103,1
88.162461411712,1
88.532840886936,1
89.775632065424,1
89.875632065424,1
91.095109473612,1
91.524057294149,1
91.624057294149,1
92.892070499657,1
93.054740707422,1
93.246520814471,1
93.346520814471,1
93.801644144848,1
94.725307970349,1
94.825307970349,1
95.316863654219,1
95.946830559273,1
96.867471795017,1
97.03829887853,1
97.192057740411,1
97.293232959695,1
97.546833021323,1
97.988397542303,1
98.390796242204,1
98.490796242204,1
98.590796242204,1
99.373949133801,1
99.604814581823,1
99.704814581823,1
99.804814581823,1
100.25265567617,1
100.674197192244,1
100.831558022671,1
101.439812349389,1
102.104191286264,1
102.274364655382,1
103.911936244239,1
104.195888320979,1
104.338898807233,1
105.04441101188,1
105.473607495794,1
105.725779399088,1
106.174074834481,1
107.305941622411,1
107.730552028193,1
108.239881393202,1
108.366091389648,1
109.476844838885,1
111.002985667327,1
111.572789649093,1
111.869101662819,1
112.167291359984,1
113.104021299913,1
115.025524591535,1
115.626643875158,1
115.726643875158,1
115.864917265476,1
116.593326544758,1
117.433787647031,1
117.699148895339,1
117.951658269216,1
118.514299277638,1
119.579048975672,1
119.722754213707,1
120.15802212687,1
120.345891548073,1
121.413306773065,1
123.095491999591,1
123.685183466413,1
124.129114171631,1
124.775068806031,1
125.313986248099,1
125.661885978549,1
126.042819864197,1
127.605554043026,1
127.736582663864,1
128.252981169187,1
128.504136568317,1
128.779834563384,1
129.262061346131,1
129.728262786334,1
130.050315140495,1
130.150315140495,1
130.377568888984,1
130.557032496919,1
131.186554255551,1
131.726214354879,1
131.89604672117,1
132.067346533519,1
132.309164376814,1
132.7903519047,1
133.481841507968,1
133.761822043005,1
134.81554584548,1
134.91554584548,1
135.01554584548,1
135.119718450074,2
135.219718450074,2
135.590124063657,2
135.808638070544,2
136.255502609697,1
136.656778602576,1
137.083818470398,1
137.183818470398,1
137.630424872268,1
139.366692611909,1
139.894617416239,1
140.088182462314,1
140.370487712874,1
140.495528460363,1
141.629845456709,1
141.729845456709,1
141.935078711315,1
142.035078711315,1
142.272469794455,1
144.34137467471,1
145.453832003323,1
145.604614959935,1
146.425063748898,1
146.810102178671,1
147.41861192634,1
147.715648675502,1
147.815648675502,1
147.915648675502,1
149.080536980158,1
149.29770980813,1
149.924013570586,1
150.240744879447,1
153.623440139416,1
154.543306531955,1
154.643306531955,1
155.799330220186,1
156.812284628738,1
156.912284628738,1
157.012284628738,1
157.275047836365,1
157.753031048326,1
157.853031048326,1
157.953031048326,1
158.665303931879,1
159.607268375172,1
160.608261622935,1
161.431621173598,1
161.696622612666,1
162.117563093532,1
162.217563093532,1
162.454393613673,1
162.554393613673,1
162.654393613673,2
164.532048118007,1
165.129767401148,1
165.363403684353,1
165.665553220277,1
165.937981784349,1
166.578148886255,1
166.678148886255,1
167.610491530449,1
167.837947452845,1
169.692927748797,1
169.792927748797,1
170.669600250539,1
170.800764905122,1
170.900764905122,1
171.530553562075,1
171.753679972335,1
173.195985848386,1
173.850635030397,1
174.543780706408,1
174.643780706408,1
174.845234465348,1
175.213300015341,1
175.549530273758,1
175.649530273758,1
175.784454761538,1
175.896024365588,2
175.996024365588,2
176.096024365588,3
176.196024365588,3
176.887252691182,1
177.198551363171,1
177.325304215743,1
178.363319745964,1
178.575148296642,1
180.017420440845,1
181.333529872119,1
181.802099230981,1
182.411497632653,1
182.865479646315,1
182.965479646315,1
183.647073661772,1
183.747073661772,1
184.083652217317,1
184.569393296364,1
184.669393296364,1
185.025696567602,1
185.626182020873,1
185.762016056044,1
188.201582500041,1
189.562256627997,1
189.717740530482,1
190.193655384253,1
190.761953631882,1
191.145493459168,1
192.144079442913,1
192.589768731368,1
193.284607263256,1
193.939499948937,1
195.608467115864,1
195.795410363816,1
196.199400390516,1
196.453332951859,1
196.572709388283,1
196.690471674992,1
196.816270981548,2
196.91928700579,2
197.042716640189,3
198.487254436138,1
198.908743823845,1
199.581417540462,1
199.882257033724,1
