Size-Vector Network.queue0 (#0 - General-0-20240516-22:44:08-5538),
0.697005878424,1
0.697005878424,0
1.370926169787,1
1.370926169787,0
2.312874238323,1
2.312874238323,0
3.707577397379,1
3.707577397379,0
4.399994745982,1
4.399994745982,0
5.863653747895,1
5.863653747895,0
6.454054602881,1
6.454054602881,0
7.863277643533,1
7.863277643533,0
8.276564008536,1
8.276564008536,0
9.009318828331,1
9.009318828331,0
9.787938303829,1
9.787938303829,0
10.15178442662,1
10.15178442662,0
10.583423824282,1
10.583423824282,0
10.848293178635,1
10.848293178635,0
12.515936495162,1
12.515936495162,0
12.615936495162,1
12.715936495162,0
15.045909206928,1
15.045909206928,0
15.284676312559,1
15.284676312559,0
15.64737789127,1
15.64737789127,0
16.134462652458,1
16.134462652458,0
17.311134740675,1
17.311134740675,0
18.565293140919,1
18.565293140919,0
19.129798725904,1
19.129798725904,0
19.62021065132,1
19.62021065132,0
20.249785290995,1
20.249785290995,0
20.623939297757,1
20.623939297757,0
22.572629862144,1
22.572629862144,0
23.92890681035,1
23.92890681035,0
24.02890681035,1
24.12890681035,0
24.292854324131,1
24.32890681035,0
24.392854324131,1
24.52890681035,0
25.144684474955,1
25.144684474955,0
25.244684474955,1
25.344684474955,0
25.504439769195,1
25.544684474955,0
26.845055516774,1
26.845055516774,0
29.207682963281,1
29.207682963281,0
30.337021157259,1
30.337021157259,0
30.450444297508,1
30.537021157259,0
31.980679990964,1
31.980679990964,0
33.511349152898,1
33.511349152898,0
36.395265554754,1
36.395265554754,0
36.876547434263,1
36.876547434263,0
38.080477102059,1
38.080477102059,0
39.290978658228,1
39.290978658228,0
39.755175752948,1
39.755175752948,0
40.30639906884,1
40.30639906884,0
41.443801049333,1
41.443801049333,0
42.295755255616,1
42.295755255616,0
42.395755255616,1
42.495755255616,0
43.346581839363,1
43.346581839363,0
44.112655745125,1
44.112655745125,0
44.766896641407,1
44.766896641407,0
44.882943901782,1
44.966896641407,0
45.461069895632,1
45.461069895632,0
47.631885254122,1
47.631885254122,0
48.697908764192,1
48.697908764192,0
49.251279233009,1
49.251279233009,0
49.351279233009,1
49.451279233009,0
49.736913143654,1
49.736913143654,0
50.218184170177,1
50.218184170177,0
50.448644434291,1
50.448644434291,0
50.603296895814,1
50.648644434291,0
51.719488015128,1
51.719488015128,0
52.720955653596,1
52.720955653596,0
53.177767470983,1
53.177767470983,0
53.360803839035,1
53.377767470983,0
53.991054868244,1
53.991054868244,0
54.100013388713,1
54.191054868244,0
54.200013388713,1
54.391054868244,0
54.408067923622,1
54.591054868244,0
55.129103627921,1
55.129103627921,0
55.250705995005,1
55.329103627921,0
55.960953502886,1
55.960953502886,0
56.149534951942,1
56.160953502886,0
56.869195934968,1
56.869195934968,0
57.235613721949,1
57.235613721949,0
59.394049987907,1
59.394049987907,0
61.140735018568,1
61.140735018568,0
61.999589234593,1
61.999589234593,0
62.447898792207,1
62.447898792207,0
62.782037663495,1
62.782037663495,0
63.494158601118,1
63.494158601118,0
63.925057906174,1
63.925057906174,0
65.669821202445,1
65.669821202445,0
66.566902052038,1
66.566902052038,0
66.666902052038,1
66.766902052038,0
66.766902052038,1
66.966902052038,0
69.31706970256,1
69.31706970256,0
70.141254053223,1
70.141254053223,0
70.935379651839,1
70.935379651839,0
71.768327736104,1
71.768327736104,0
71.908897285617,1
71.968327736104,0
72.086052315179,1
72.168327736104,0
72.418605336644,1
72.418605336644,0
72.522126852965,1
72.618605336644,0
73.563908870308,1
73.563908870308,0
73.84813034352,1
73.84813034352,0
74.550176513349,1
74.550176513349,0
74.889253058517,1
74.889253058517,0
75.184087476495,1
75.184087476495,0
75.817408321641,1
75.817408321641,0
75.917408321641,1
76.017408321641,0
76.279788922056,1
76.279788922056,0
77.034192175931,1
77.034192175931,0
80.375064810563,1
80.375064810563,0
82.769774792103,1
82.769774792103,0
82.869774792103,1
82.969774792103,0
