BufferSizeQueue Network.nodeRx.traRx (#0 - General-0-20240516-22:44:08-5538),
0.897105878424,1
1.571026169787,1
2.512974238323,1
3.907677397379,1
4.600094745982,1
6.063753747895,1
6.654154602881,1
8.063377643533,1
8.476664008536,1
9.209418828331,1
9.988038303829,1
10.35188442662,1
10.783523824282,1
11.048393178635,1
12.716036495162,1
12.916036495162,1
15.246009206928,1
15.484776312559,1
15.84747789127,1
16.334562652458,1
17.511234740675,1
18.765393140919,1
19.329898725904,1
19.82031065132,1
20.449885290995,1
20.824039297757,1
22.772729862144,1
24.12900681035,1
24.32900681035,1
24.52900681035,1
24.72900681035,1
25.344784474955,1
25.544784474955,1
25.744784474955,1
27.045155516774,1
29.407782963281,1
30.537121157259,1
30.737121157259,1
32.180779990964,1
33.711449152898,1
36.595365554754,1
37.076647434263,1
38.280577102059,1
39.491078658228,1
39.955275752948,1
40.50649906884,1
41.643901049333,1
42.495855255616,1
42.695855255616,1
43.546681839363,1
44.312755745125,1
44.966996641407,1
45.166996641407,1
45.661169895632,1
47.831985254122,1
48.898008764192,1
49.451379233009,1
49.651379233009,1
49.937013143654,1
50.418284170177,1
50.648744434291,1
50.848744434291,1
51.919588015128,1
52.921055653596,1
53.377867470983,1
53.577867470983,1
54.191154868244,1
54.391154868244,1
54.591154868244,1
54.791154868244,1
55.329203627921,1
55.529203627921,1
56.161053502886,1
56.361053502886,1
57.069295934968,1
57.435713721949,1
59.594149987907,1
61.340835018568,1
62.199689234593,1
62.647998792207,1
62.982137663495,1
63.694258601118,1
64.125157906174,1
65.869921202445,1
66.767002052038,1
66.967002052038,1
67.167002052038,1
69.51716970256,1
70.341354053223,1
71.135479651839,1
71.968427736104,1
72.168427736104,1
72.368427736104,1
72.618705336644,1
72.818705336644,1
73.764008870308,1
74.04823034352,1
74.750276513349,1
75.089353058517,1
75.384187476495,1
76.017508321641,1
76.217508321641,1
76.479888922056,1
77.234292175931,1
80.575164810563,1
82.969874792103,1
83.169874792103,1
83.843970933234,1
84.043970933234,1
84.775711506381,1
84.975711506381,1
88.927721928132,1
89.721778964453,1
90.375715854672,1
90.594776254622,1
90.996074762434,1
91.467030948177,1
91.949866699379,1
92.160074455738,1
92.892722511291,1
93.092722511291,1
93.331944025843,1
93.531944025843,1
94.262036809337,1
95.063090957199,1
95.34925783973,1
95.54925783973,1
96.590768541623,1
96.790768541623,1
98.995321407892,1
99.340331876197,1
100.155033911856,1
101.445282655143,1
101.645282655143,1
101.845282655143,1
102.263466200727,1
103.62833039019,1
104.468191164505,1
104.668191164505,1
107.224158525245,1
110.035932119933,1
111.614923095527,1
112.089175542824,1
112.623613237824,1
115.445058701202,1
115.645058701202,1
116.184412768696,1
116.634372933677,1
117.642556887791,1
117.842556887791,1
118.042556887791,1
118.242556887791,1
118.442556887791,1
121.292825772702,1
121.492825772702,1
121.722932943125,1
121.986315010161,1
122.478049723434,1
122.678049723434,1
123.447996345664,1
123.73502205731,1
125.328199955061,1
125.729363236879,1
127.607297074193,1
127.807297074193,1
128.007297074193,1
128.724708856665,1
129.349341493715,1
129.976414642693,1
131.478845034573,1
131.710156164646,1
132.243592117559,1
132.799161330394,1
134.663348098127,1
134.863348098127,1
136.64256421041,1
137.285985941216,1
137.485985941216,1
139.338005749478,1
139.582011061125,1
139.869681221699,1
140.069681221699,1
140.702366217265,1
142.087861955516,1
142.287861955516,1
142.975195481322,1
143.920145838904,1
145.301107692519,1
145.557348317789,1
145.787986610611,1
145.987986610611,1
146.320149531978,1
146.982496313447,1
147.586094363298,1
147.786094363298,1
147.986094363298,1
149.060823700694,1
149.407121872727,1
149.607121872727,1
149.807121872727,1
150.378883514248,1
151.011195788359,1
151.247237034,1
152.159618524077,1
153.15618692939,1
153.411446983066,1
155.867804366352,1
156.293732481462,1
156.508248210843,1
157.566516517814,1
158.210311243686,1
158.588569098627,1
159.261012251716,1
160.958812433612,1
161.595728042285,1
162.359722089799,1
162.559722089799,1
164.215167258323,1
166.504378500986,1
167.359084473636,1
167.803552494225,1
168.250837039972,1
169.655931949865,1
172.538186887298,1
173.439865812733,1
173.639865812733,1
173.839865812733,1
174.889889817134,1
176.150581470543,1
176.548623343005,1
176.927387403821,1
177.771348916454,1
179.368473463505,1
179.584031320558,1
180.236933190303,1
180.518737322108,1
182.119860159595,1
184.643137999383,1
185.527675199616,1
186.193571257444,1
187.162503209044,1
187.970879372146,1
188.492728967821,1
189.064129796293,1
191.408231064537,1
191.608231064537,1
192.379371753778,1
192.756104852474,1
193.169651845075,1
193.892992019195,1
194.5922941795,1
195.075372710742,1
195.275372710742,1
195.566253333476,1
195.835448745378,1
196.779731383326,1
197.589221532318,1
197.843970081755,1
198.100919800279,1
198.463646565221,1
199.185427857049,1
