Size-Vector Network.queue0 (#0 - General-0-20240516-22:42:02-5370),
0.299068626141,1
0.299068626141,0
0.523708723262,1
0.523708723262,0
0.837691412774,1
0.837691412774,0
1.302592465793,1
1.302592465793,0
1.533398248661,1
1.533398248661,0
2.021284582632,1
2.021284582632,0
2.218084867627,1
2.221284582632,0
2.687825881178,1
2.687825881178,0
2.825588002846,1
2.887825881178,0
3.069839609444,1
3.087825881178,0
3.32937943461,1
3.32937943461,0
3.45066147554,1
3.52937943461,0
3.594541274761,1
3.694541274761,2
3.72937943461,1
3.92937943461,0
4.238712165054,1
4.238712165054,0
4.338712165054,1
4.438712165054,0
5.082036402309,1
5.082036402309,0
5.182036402309,1
5.282036402309,0
5.282525963756,1
5.444887550819,2
5.482036402309,1
5.682036402309,0
5.837111580225,1
5.882036402309,0
6.255164380306,1
6.255164380306,0
6.443332908634,1
6.455164380306,0
6.606803550439,1
6.655164380306,0
6.816661763664,1
6.855164380306,0
6.941379765918,1
7.055164380306,0
7.59094328738,1
7.59094328738,0
8.043035603449,1
8.043035603449,0
8.143035603449,1
8.243035603449,0
8.243035603449,1
8.343035603449,2
8.443035603449,1
8.448294824984,2
8.548294824984,3
8.643035603449,2
8.648294824984,3
8.843035603449,2
9.015085172258,3
9.043035603449,2
9.243035603449,1
9.443035603449,0
9.802627654427,1
9.802627654427,0
10.179073719086,1
10.179073719086,0
10.279073719086,1
10.379073719086,0
10.726959996987,1
10.726959996987,0
11.237183050965,1
11.237183050965,0
12.19848851825,1
12.19848851825,0
12.35891581142,1
12.39848851825,0
12.760225700685,1
12.760225700685,0
13.163726219408,1
13.163726219408,0
13.318458584315,1
13.363726219408,0
13.502199689612,1
13.563726219408,0
13.88133368311,1
13.88133368311,0
14.165318418538,1
14.165318418538,0
14.265318418538,1
14.365318418538,0
14.515593946454,1
14.565318418538,0
14.770951915041,1
14.770951915041,0
14.989032213802,1
14.989032213802,0
15.089032213802,1
15.189032213802,0
15.220423298544,1
15.389032213802,0
15.944028418041,1
15.944028418041,0
16.299369588064,1
16.299369588064,0
16.483826411003,1
16.499369588064,0
16.583826411003,1
16.683826411003,2
16.699369588064,1
16.806128056726,2
16.899369588064,1
16.906128056726,2
17.006128056726,3
17.099369588064,2
17.299369588064,1
17.30656267171,2
17.499369588064,1
17.640385217866,2
17.699369588064,1
17.792655823662,2
17.892655823662,3
17.899369588064,2
18.063751622749,3
18.099369588064,2
18.163751622749,3
18.263751622749,4
18.299369588064,3
18.363751622749,4
18.463751622749,5
18.499369588064,4
18.563751622749,5
18.699369588064,4
18.720384500962,5
18.820384500962,6
18.899369588064,5
19.023131978323,6
19.099369588064,5
19.14527124065,6
19.299369588064,5
19.499369588064,4
19.699369588064,3
19.864749995969,4
19.899369588064,3
20.099369588064,2
20.299369588064,1
20.446978339523,2
20.499369588064,1
20.699369588064,0
20.733263078198,1
20.882699597403,2
20.899369588064,1
20.994079221166,2
21.099369588064,1
21.23145286704,2
21.299369588064,1
21.375085968725,2
21.499369588064,1
21.699369588064,0
21.956673734149,1
21.956673734149,0
22.255700684013,1
22.255700684013,0
22.355700684013,1
22.455700684013,0
22.455700684013,1
22.655700684013,0
23.172423234188,1
23.172423234188,0
23.447151351076,1
23.447151351076,0
23.711859883948,1
23.711859883948,0
23.98950924537,1
23.98950924537,0
24.08950924537,1
24.18950924537,0
24.18950924537,1
24.28950924537,2
24.38950924537,1
24.38950924537,2
24.588036290105,3
24.58950924537,2
24.688036290105,3
24.78950924537,2
24.916792171119,3
24.98950924537,2
25.029817686175,3
25.129817686175,4
25.18950924537,3
25.339202773883,4
25.38950924537,3
25.439202773883,4
25.539202773883,5
25.58950924537,4
25.74479739198,5
25.78950924537,4
25.98950924537,3
26.18950924537,2
26.38950924537,1
26.58950924537,0
26.858421603524,1
26.858421603524,0
27.656658264037,1
27.656658264037,0
27.756658264037,1
27.856658264037,0
27.948023644414,1
28.048023644414,2
28.056658264037,1
28.256658264037,0
28.258603835463,1
28.358603835463,2
28.456658264037,1
28.656658264037,0
29.64260730938,1
29.64260730938,0
29.907292988154,1
29.907292988154,0
30.12527195156,1
30.12527195156,0
30.22527195156,1
30.32527195156,0
30.332058254148,1
30.489043649396,2
30.52527195156,1
30.649988899797,2
30.72527195156,1
30.749988899797,2
30.92527195156,1
30.964274170435,2
31.064274170435,3
31.12527195156,2
31.164274170435,3
31.264274170435,4
31.32527195156,3
31.420712269784,4
31.52527195156,3
31.687730319071,4
31.72527195156,3
31.787730319071,4
31.887730319071,5
31.92527195156,4
32.12527195156,3
32.196956180546,4
32.296956180546,5
32.32527195156,4
32.52527195156,3
32.72527195156,2
32.92527195156,1
32.998473802636,2
33.113477292071,3
33.12527195156,2
33.32527195156,1
33.385044637291,2
33.52527195156,1
33.72527195156,0
33.81512755172,1
33.91512755172,2
33.92527195156,1
34.01512755172,2
34.11512755172,3
34.12527195156,2
34.32527195156,1
34.52527195156,0
34.542810130069,1
34.72527195156,0
34.822763721507,1
34.922763721507,2
34.92527195156,1
35.12527195156,0
35.74141950842,1
35.74141950842,0
36.678677373316,1
36.678677373316,0
37.205007698514,1
37.205007698514,0
37.363091847613,1
37.405007698514,0
37.541237745946,1
37.605007698514,0
38.481719567072,1
38.481719567072,0
38.581719567072,1
38.681719567072,0
38.728170922903,1
38.878157644563,2
38.881719567072,1
39.081719567072,0
39.214218962601,1
39.281719567072,0
39.314218962601,1
39.414218962601,2
39.481719567072,1
39.514218962601,2
39.614218962601,3
39.681719567072,2
39.881719567072,1
40.081719567072,0
40.430975257572,1
40.430975257572,0
40.530975257572,1
40.630975257572,0
40.630975257572,1
40.730975257572,2
40.830975257572,1
40.830975257572,2
40.930975257572,3
41.030975257572,2
41.149365448559,3
41.230975257572,2
41.249365448559,3
41.430975257572,2
41.630975257572,1
41.776099985024,2
41.830975257572,1
41.909821078963,2
42.030975257572,1
42.230975257572,0
42.535799024734,1
42.535799024734,0
42.635799024734,1
42.735799024734,0
42.735799024734,1
42.908269618891,2
42.935799024734,1
43.116480497908,2
43.135799024734,1
43.325504880901,2
43.335799024734,1
43.535799024734,0
43.826315011528,1
43.826315011528,0
43.926315011528,1
44.026315011528,0
44.081230705856,1
44.226315011528,0
44.266420443468,1
44.426315011528,0
44.887816032712,1
44.887816032712,0
44.987816032712,1
45.087816032712,0
45.547554736807,1
45.547554736807,0
45.762028647076,1
45.762028647076,0
45.862028647076,1
45.962028647076,0
46.44603524983,1
46.44603524983,0
46.54603524983,1
46.64603524983,0
46.64603524983,1
46.74603524983,2
46.84603524983,1
46.900822072426,2
47.04603524983,1
47.24603524983,0
47.362653985176,1
47.44603524983,0
47.462653985176,1
47.64603524983,0
47.658431827111,1
47.84603524983,0
47.973415279638,1
48.04603524983,0
48.43373589751,1
48.43373589751,0
48.53373589751,1
48.63373589751,0
48.63373589751,1
48.73373589751,2
48.83373589751,1
48.83373589751,2
48.994198771154,3
49.03373589751,2
49.195398121104,3
49.23373589751,2
49.295398121104,3
49.395398121104,4
49.43373589751,3
49.63373589751,2
49.686974566902,3
49.802407290913,4
49.83373589751,3
49.902407290913,4
50.002407290913,5
50.03373589751,4
50.126327838087,5
50.23373589751,4
50.337098596124,5
50.43373589751,4
50.437098596124,5
50.63373589751,4
50.719906174697,5
50.83373589751,4
51.03373589751,3
51.052095643135,4
51.152095643135,5
51.23373589751,4
51.43373589751,3
51.63373589751,2
51.83373589751,1
51.955968122123,2
52.03373589751,1
52.097944160493,2
52.197944160493,3
52.23373589751,2
52.43373589751,1
52.522205505944,2
52.63373589751,1
52.736803747901,2
52.83373589751,1
52.862889699548,2
53.03373589751,1
53.087037417244,2
53.23373589751,1
53.43373589751,0
53.652970811209,1
53.652970811209,0
53.8652760141,1
53.8652760141,0
54.119940696605,1
54.119940696605,0
54.219940696605,1
54.319940696605,0
54.738422419447,1
54.738422419447,0
55.501492833668,1
55.501492833668,0
55.786394824551,1
55.786394824551,0
55.934550831414,1
55.986394824551,0
56.083645679996,1
56.186394824551,0
56.55201064996,1
56.55201064996,0
57.512762295771,1
57.512762295771,0
57.813321937583,1
57.813321937583,0
57.913321937583,1
58.013321937583,0
58.013321937583,1
58.213321937583,0
58.296663272384,1
58.413321937583,0
58.71689382352,1
58.71689382352,0
58.849574447674,1
58.91689382352,0
58.975829134613,1
59.11689382352,0
59.257149638824,1
59.31689382352,0
59.789524487841,1
59.789524487841,0
59.889524487841,1
59.989524487841,0
60.079011063441,1
60.179011063441,2
60.189524487841,1
60.389524487841,0
60.706653386539,1
60.706653386539,0
61.547745999802,1
61.547745999802,0
61.842591733213,1
61.842591733213,0
62.064557085822,1
62.064557085822,0
62.387534403022,1
62.387534403022,0
62.656993124056,1
62.656993124056,0
62.830942989281,1
62.856993124056,0
63.021409932105,1
63.056993124056,0
63.80277702152,1
63.80277702152,0
63.90277702152,1
64.00277702152,0
64.1264905846,1
64.20277702152,0
64.252068284165,1
64.389917281699,2
64.40277702152,1
64.60277702152,0
64.631030673072,1
64.80277702152,0
64.864131393174,1
65.00277702152,0
65.025157570255,1
65.125157570255,2
65.20277702152,1
65.225157570255,2
65.325157570255,3
65.40277702152,2
65.593277127783,3
65.60277702152,2
65.80277702152,1
65.863107177447,2
65.963107177447,3
66.00277702152,2
66.063107177447,3
66.163107177447,4
66.20277702152,3
66.395175952358,4
66.40277702152,3
66.60277702152,2
66.740920753992,3
66.80277702152,2
66.88091102151,3
67.00277702152,2
67.20277702152,1
67.40277702152,0
67.407772922748,1
67.507772922748,2
67.60277702152,1
67.607772922748,2
67.707772922748,3
67.80277702152,2
67.807772922748,3
67.907772922748,4
68.00277702152,3
68.007772922748,4
68.127751304856,5
68.20277702152,4
68.328389301296,5
68.40277702152,4
68.541909235207,5
68.60277702152,4
68.641909235207,5
68.80277702152,4
68.815212436142,5
69.00277702152,4
69.20277702152,3
69.40277702152,2
69.60277702152,1
69.683346305963,2
69.80277702152,1
69.947308708128,2
70.00277702152,1
70.047308708128,2
70.185243856445,3
70.20277702152,2
70.285243856445,3
70.40277702152,2
70.60277702152,1
70.80277702152,0
70.814922728362,1
70.914922728362,2
71.00277702152,1
71.014922728362,2
71.114922728362,3
71.20277702152,2
71.214922728362,3
71.40277702152,2
71.60277702152,1
71.80277702152,0
72.170687337364,1
72.170687337364,0
72.72691600167,1
72.72691600167,0
72.82691600167,1
72.92691600167,0
73.212531874458,1
73.212531874458,0
73.405051089345,1
73.412531874458,0
73.709305963179,1
73.709305963179,0
73.85782433776,1
73.909305963179,0
73.95782433776,1
74.05782433776,2
74.109305963179,1
74.309305963179,0
74.540268490088,1
74.540268490088,0
74.648854904074,1
74.740268490088,0
74.962006785302,1
74.962006785302,0
75.120372439733,1
75.162006785302,0
76.811720069717,1
76.811720069717,0
77.271653265986,1
77.271653265986,0
77.371653265986,1
77.471653265986,0
77.899665110102,1
77.899665110102,0
78.406142314378,1
78.406142314378,0
78.506142314378,1
78.606142314378,0
78.606142314378,1
78.706142314378,2
78.806142314378,1
78.876515524172,2
78.976515524172,3
79.006142314378,2
79.076515524172,3
79.206142314378,2
79.332651965949,3
79.406142314378,2
79.606142314378,1
79.803634187596,2
79.806142314378,1
80.006142314378,0
80.304130811477,1
80.304130811477,0
80.715810586809,1
80.715810586809,0
80.848311306343,1
80.915810586809,0
81.058781546776,1
81.115810586809,0
81.158781546776,1
81.258781546776,2
81.315810586809,1
81.358781546776,2
81.458781546776,3
81.515810586809,2
81.715810586809,1
81.915810586809,0
82.266024059013,1
82.266024059013,0
82.564883700584,1
82.564883700584,0
82.681701842186,1
82.764883700584,0
82.832776610148,1
82.964883700584,0
82.968990892184,1
83.164883700584,0
83.289074443137,1
83.364883700584,0
83.389074443137,1
83.564883700584,0
83.805245765234,1
83.805245765234,0
83.918973726432,1
84.005245765234,0
84.846463874408,1
84.846463874408,0
84.946463874408,1
85.046463874408,0
85.334800125279,1
85.334800125279,0
85.434800125279,1
85.534800125279,0
85.534800125279,1
85.734800125279,0
85.765276781048,1
85.876839986178,2
85.934800125279,1
86.134800125279,0
86.597992924204,1
86.597992924204,0
86.92531751521,1
86.92531751521,0
87.271890353215,1
87.271890353215,0
87.371890353215,1
87.471890353215,0
87.471890353215,1
87.606650007682,2
87.671890353215,1
87.77476513689,2
87.871890353215,1
87.87476513689,2
87.97476513689,3
88.071890353215,2
88.07476513689,3
88.17476513689,4
88.271890353215,3
88.27476513689,4
88.37476513689,5
88.471890353215,4
88.47476513689,5
88.599275681597,6
88.671890353215,5
88.699275681597,6
88.871890353215,5
89.071890353215,4
89.181659872994,5
89.271890353215,4
89.287574148333,5
89.471890353215,4
89.671890353215,3
89.871890353215,2
90.008710220435,3
90.071890353215,2
90.271890353215,1
90.471890353215,0
90.666764936072,1
90.671890353215,0
90.901049615503,1
90.901049615503,0
91.205748816339,1
91.205748816339,0
91.43273982317,1
91.43273982317,0
91.53273982317,1
91.63273982317,0
91.823536830898,1
91.83273982317,0
91.923536830898,1
92.03273982317,0
92.04182610867,1
92.23273982317,0
92.284696648194,1
92.384696648194,2
92.43273982317,1
92.512848283813,2
92.63273982317,1
92.813091010448,2
92.83273982317,1
92.913091010448,2
93.03273982317,1
93.23273982317,0
94.100791250032,1
94.100791250032,0
94.78112831401,1
94.78112831401,0
94.88112831401,1
94.98112831401,0
95.096827692138,1
95.18112831401,0
95.380976815952,1
95.38112831401,0
95.572746729595,1
95.58112831401,0
96.072039721467,1
96.072039721467,0
96.294884365695,1
96.294884365695,0
96.642303631639,1
96.642303631639,0
96.969749974479,1
96.969749974479,0
97.804233557942,1
97.804233557942,0
97.904233557942,1
98.004233557942,0
98.099700195268,1
98.204233557942,0
98.22666647594,1
98.32666647594,2
98.404233557942,1
98.42666647594,2
98.52666647594,3
98.604233557942,2
98.62666647594,3
98.72666647594,4
98.804233557942,3
99.004233557942,2
99.204233557942,1
99.243627218081,2
99.404233557942,1
99.454371911935,2
99.604233557942,1
99.790708770243,2
99.804233557942,1
99.941128516874,2
100.004233557942,1
100.109689659283,2
100.204233557942,1
100.404233557942,0
100.988309329417,1
100.988309329417,0
101.088309329417,1
101.188309329417,0
101.338096996117,1
101.388309329417,0
101.438096996117,1
101.538096996117,2
101.588309329417,1
101.638096996117,2
101.738096996117,3
101.788309329417,2
101.838096996117,3
101.938096996117,4
101.988309329417,3
102.038096996117,4
102.188309329417,3
102.388309329417,2
102.398563607336,3
102.588309329417,2
102.69652813325,3
102.788309329417,2
102.988309329417,1
103.188309329417,0
103.633201786706,1
103.633201786706,0
103.751805859289,1
103.833201786706,0
103.992165752182,1
104.033201786706,0
104.092165752182,1
104.233201786706,0
104.237151616234,1
104.337151616234,2
104.433201786706,1
104.633201786706,0
104.725488738782,1
104.825488738782,2
104.833201786706,1
105.033201786706,0
105.083376087626,1
105.233201786706,0
105.367760714011,1
105.433201786706,0
105.53056839699,1
105.633201786706,0
105.681713701574,1
105.833201786706,0
105.964302588052,1
106.033201786706,0
106.156582538326,1
106.233201786706,0
106.390097621477,1
106.433201786706,0
106.957557625423,1
106.957557625423,0
107.271108442946,1
107.271108442946,0
108.431021574539,1
108.431021574539,0
108.589504079388,1
108.631021574539,0
108.689504079388,1
108.802835063333,2
108.831021574539,1
109.031021574539,0
109.074811171737,1
109.231021574539,0
109.667040714446,1
109.667040714446,0
109.767040714446,1
109.867040714446,0
109.867040714446,1
109.967040714446,2
110.067040714446,1
