Size-Vector Network.nodeRx.queue (#0 - General-0-20240511-20:09:03-87262),
0.3002,1
0.3002,0
0.4002,1
0.5002,0
0.5002,1
0.6002,2
0.7002,1
0.7002,2
0.8002,3
0.9002,2
0.9002,3
1.0002,4
1.1002,3
1.1002,4
1.2002,5
1.3002,4
1.3002,5
1.4002,6
1.5002,5
1.5002,6
1.6002,7
1.7002,6
1.7002,7
1.8002,8
1.9002,7
1.9002,8
2.0002,9
2.1002,8
2.1002,9
2.2002,10
2.3002,9
2.3002,10
2.4002,11
2.5002,10
2.5002,11
2.6002,12
2.7002,11
2.7002,12
2.8002,13
2.9002,12
2.9002,13
3.0002,14
3.1002,13
3.1002,14
3.2002,15
3.3002,14
3.3002,15
3.4002,16
3.5002,15
3.5002,16
3.6002,17
3.7002,16
3.7002,17
3.8002,18
3.9002,17
3.9002,18
4.0002,19
4.1002,18
4.1002,19
4.2002,20
4.3002,19
4.3002,20
4.4002,21
4.5002,20
4.5002,21
4.6002,22
4.7002,21
4.7002,22
4.8002,23
4.9002,22
4.9002,23
5.0002,24
5.1002,23
5.1002,24
5.2002,25
5.3002,24
5.3002,25
5.4002,26
5.5002,25
5.5002,26
5.6002,27
5.7002,26
5.7002,27
5.8002,28
5.9002,27
5.9002,28
6.0002,29
6.1002,28
6.1002,29
6.2002,30
6.3002,29
6.3002,30
6.4002,31
6.5002,30
6.5002,31
6.6002,32
6.7002,31
6.7002,32
6.8002,33
6.9002,32
6.9002,33
7.0002,34
7.1002,33
7.1002,34
7.2002,35
7.3002,34
7.3002,35
7.4002,36
7.5002,35
7.5002,36
7.6002,37
7.7002,36
7.7002,37
7.8002,38
7.9002,37
7.9002,38
8.0002,39
8.1002,38
8.1002,39
8.2002,40
8.3002,39
8.3002,40
8.4002,41
8.5002,40
8.5002,41
8.6002,42
8.7002,41
8.7002,42
8.8002,43
8.9002,42
8.9002,43
9.0002,44
9.1002,43
9.1002,44
9.2002,45
9.3002,44
9.3002,45
9.4002,46
9.5002,45
9.5002,46
9.6002,47
9.7002,46
9.7002,47
9.8002,48
9.9002,47
9.9002,48
10.0002,49
10.1002,48
10.1002,49
10.2002,50
10.3002,49
10.3002,50
10.4002,51
10.5002,50
10.5002,51
10.6002,52
10.7002,51
10.7002,52
10.8002,53
10.9002,52
10.9002,53
11.0002,54
11.1002,53
11.1002,54
11.2002,55
11.3002,54
11.3002,55
11.4002,56
11.5002,55
11.5002,56
11.6002,57
11.7002,56
11.7002,57
11.8002,58
11.9002,57
11.9002,58
12.0002,59
12.1002,58
12.1002,59
12.2002,60
12.3002,59
12.3002,60
12.4002,61
12.5002,60
12.5002,61
12.6002,62
12.7002,61
12.7002,62
12.8002,63
12.9002,62
12.9002,63
13.0002,64
13.1002,63
13.1002,64
13.2002,65
13.3002,64
13.3002,65
13.4002,66
13.5002,65
13.5002,66
13.6002,67
13.7002,66
13.7002,67
13.8002,68
13.9002,67
13.9002,68
14.0002,69
14.1002,68
14.1002,69
14.2002,70
14.3002,69
14.3002,70
14.4002,71
14.5002,70
14.5002,71
14.6002,72
14.7002,71
14.7002,72
14.8002,73
14.9002,72
14.9002,73
15.0002,74
