Size-Vector Network.nodeRx.queue (#0 - General-0-20240515-14:11:14-118901),
1.096074504566,1
1.096074504566,0
1.99463489305,1
1.99463489305,0
3.250565651097,1
3.250565651097,0
5.110169863172,1
5.110169863172,0
6.033392994643,1
6.033392994643,0
7.984938330527,1
7.984938330527,0
8.772139470509,1
8.772139470509,0
10.651103524712,1
10.651103524712,0
11.202152011382,1
11.202152011382,0
12.179158437775,1
12.179158437775,0
13.217317738439,1
13.217317738439,0
13.702445902161,1
13.702445902161,0
14.277965099044,1
14.277965099044,0
14.631124238182,1
14.631124238182,0
16.854648660218,1
16.854648660218,0
17.054648660218,1
17.054648660218,0
20.227945609239,1
20.227945609239,0
20.546301750081,1
20.546301750081,0
21.029903855029,1
21.029903855029,0
21.67935020328,1
21.67935020328,0
23.248246320903,1
23.248246320903,0
24.920457521228,1
24.920457521228,0
25.673131634541,1
25.673131634541,0
26.327014201762,1
26.327014201762,0
27.166447054662,1
27.166447054662,0
27.665319063678,1
27.665319063678,0
30.263573149527,1
30.263573149527,0
32.071942413802,1
32.071942413802,0
32.271942413802,1
32.271942413802,0
32.55720576551,1
32.55720576551,0
32.75720576551,1
32.75720576551,0
33.692979299942,1
33.692979299942,0
33.892979299942,1
33.892979299942,0
34.172653025596,1
34.172653025596,0
35.960140689035,1
35.960140689035,0
39.110310617711,1
39.110310617711,0
40.616094876348,1
40.616094876348,0
40.816094876348,1
40.816094876348,0
42.807639987955,1
42.807639987955,0
44.848532203867,1
44.848532203867,0
48.693754073009,1
48.693754073009,0
49.335463245687,1
49.335463245687,0
50.940702802749,1
50.940702802749,0
52.554704877642,1
52.554704877642,0
53.173634337269,1
53.173634337269,0
53.908598758459,1
53.908598758459,0
55.425134732449,1
55.425134732449,0
56.561073674159,1
56.561073674159,0
56.761073674159,1
56.761073674159,0
57.962175785821,1
57.962175785821,0
58.98360766017,1
58.98360766017,0
59.855928855212,1
59.855928855212,0
60.055928855212,1
60.055928855212,0
60.781493194179,1
60.781493194179,0
63.675913672166,1
63.675913672166,0
65.09727835226,1
65.09727835226,0
65.835105644016,1
65.835105644016,0
66.035105644016,1
66.035105644016,0
66.482617524877,1
66.482617524877,0
67.124312226908,1
67.124312226908,0
67.431592579061,1
67.431592579061,0
67.637795861091,1
67.637795861091,0
69.126050686843,1
