Size-Vector Network.nodeTx.queue (#0 - General-0-20240511-21:12:58-90023),
0.397937252283,1
0.397937252283,0
0.847217446525,1
0.847217446525,0
1.475182825549,1
1.475182825549,0
2.404984931586,1
2.404984931586,0
2.866596497321,1
2.866596497321,0
3.842369165263,1
3.842369165263,0
4.235969735254,1
4.235969735254,0
5.175451762355,1
5.175451762355,0
5.45097600569,1
5.45097600569,0
5.939479218887,1
5.939479218887,0
6.458558869219,1
6.458558869219,0
6.70112295108,1
6.70112295108,0
6.988882549521,1
6.988882549521,0
7.16546211909,1
7.16546211909,0
8.277224330108,1
8.277224330108,0
8.306416664655,1
8.377224330108,0
9.963872804619,1
9.963872804619,0
10.12305087504,1
10.12305087504,0
10.364851927514,1
10.364851927514,0
10.689575101639,1
10.689575101639,0
11.474023160451,1
11.474023160451,0
12.310128760613,1
12.310128760613,0
12.686465817269,1
12.686465817269,0
13.01340710088,1
13.01340710088,0
13.43312352733,1
13.43312352733,0
13.682559531838,1
13.682559531838,0
14.981686574762,1
14.981686574762,0
15.885871206899,1
15.885871206899,0
15.922713884632,1
15.985871206899,0
16.128502882753,1
16.128502882753,0
16.174083395815,1
16.228502882753,0
16.696389649969,1
16.696389649969,0
16.706602444169,1
16.796389649969,0
16.936226512797,1
16.936226512797,0
17.829970344516,1
17.829970344516,0
19.405055308854,1
19.405055308854,0
20.157947438173,1
20.157947438173,0
20.233562865005,1
20.257947438173,0
21.253719993976,1
21.253719993976,0
22.274166101932,1
22.274166101932,0
24.196777036503,1
24.196777036503,0
24.517631622842,1
24.517631622842,0
25.320251401373,1
25.320251401373,0
26.127252438819,1
26.127252438819,0
26.436717168632,1
26.436717168632,0
26.804199379227,1
26.804199379227,0
27.562467366222,1
27.562467366222,0
28.130436837077,1
28.130436837077,0
28.193374041796,1
28.230436837077,0
28.830987892908,1
28.830987892908,0
29.341703830083,1
29.341703830083,0
29.777864427604,1
29.777864427604,0
29.855229267854,1
29.877864427604,0
30.240646597088,1
30.240646597088,0
31.687856836082,1
31.687856836082,0
32.398539176129,1
32.398539176129,0
32.767452822007,1
32.767452822007,0
32.823425902323,1
32.867452822007,0
33.091208762437,1
33.091208762437,0
33.412056113453,1
33.412056113453,0
33.565696289529,1
33.565696289529,0
33.668797930544,1
33.668797930544,0
34.41292534342,1
34.41292534342,0
35.080570435732,1
35.080570435732,0
35.385111647324,1
35.385111647324,0
35.507135892692,1
35.507135892692,0
35.927303245498,1
35.927303245498,0
35.999942259144,1
36.009426543745,2
36.027303245498,1
36.127303245498,0
36.205311949083,1
36.227303245498,0
36.686002418616,1
36.686002418616,0
36.767070663339,1
36.786002418616,0
37.240569001926,1
37.240569001926,0
37.366289967963,1
37.366289967963,0
37.846063956647,1
37.846063956647,0
38.090342481301,1
38.090342481301,0
39.52929999194,1
39.52929999194,0
40.693756679047,1
40.693756679047,0
41.266326156397,1
41.266326156397,0
41.565199194806,1
41.565199194806,0
41.787958442332,1
41.787958442332,0
42.26270573408,1
42.26270573408,0
42.549971937451,1
42.549971937451,0
43.713147468298,1
43.713147468298,0
44.311201368027,1
44.311201368027,0
44.363481980915,1
44.394539626148,2
44.411201368027,1
44.511201368027,0
46.144646468375,1
46.144646468375,0
46.69410270215,1
46.69410270215,0
47.223519767894,1
47.223519767894,0
47.778818490738,1
47.778818490738,0
47.872531523747,1
47.878818490738,0
47.990634876788,1
47.990634876788,0
48.212336891098,1
48.212336891098,0
48.281351235312,1
48.312336891098,0
48.975872580208,1
48.975872580208,0
49.165353562349,1
49.165353562349,0
49.633384342235,1
49.633384342235,0
49.859435372347,1
49.859435372347,0
50.055991650999,1
50.055991650999,0
50.478205547763,1
50.478205547763,0
50.49779712597,1
50.578205547763,0
50.786459281373,1
50.786459281373,0
51.289394783956,1
51.289394783956,0
53.516643207044,1
53.516643207044,0
55.113116528071,1
55.113116528071,0
55.166934082149,1
55.213116528071,0
55.695847288825,1
55.695847288825,0
55.812998048213,1
55.812998048213,0
56.317007670923,1
56.317007670923,0
56.404964443636,1
56.417007670923,0
59.085014618758,1
59.085014618758,0
59.614385976305,1
59.614385976305,0
60.050343903118,1
60.050343903118,0
60.196384169752,1
60.196384169752,0
60.463916508294,1
60.463916508294,0
60.77788729879,1
60.77788729879,0
61.099777799591,1
61.099777799591,0
61.23991630383,1
61.23991630383,0
61.728348340865,1
61.728348340865,0
61.814912068938,1
61.828348340865,0
62.021162683899,1
62.021162683899,0
62.079640388795,1
62.121162683899,0
62.641224539562,1
62.641224539562,0
63.175260638137,1
63.175260638137,0
63.366038559824,1
63.366038559824,0
63.44039469445,1
63.466038559824,0
64.193712361086,1
64.193712361086,0
64.30315265934,1
64.30315265934,0
65.796747605266,1
65.796747605266,0
66.026754584136,1
66.026754584136,0
66.569889274575,1
66.569889274575,0
67.430055103433,1
67.430055103433,0
67.436887392648,1
67.48795983341,2
67.530055103433,1
67.630055103433,0
67.975510800488,1
67.975510800488,0
68.88542026013,1
68.88542026013,0
69.445327443007,1
69.445327443007,0
69.495844830661,1
69.545327443007,0
71.282639016833,1
71.282639016833,0
73.157154746625,1
73.157154746625,0
74.209815397021,1
74.209815397021,0
74.525983695219,1
74.525983695219,0
74.882275491886,1
74.882275491886,0
76.763239134138,1
76.763239134138,0
76.79190259735,1
76.863239134138,0
77.256141845801,1
77.256141845801,0
77.556115289122,1
77.556115289122,0
78.228237925198,1
78.228237925198,0
78.238332989271,1
78.2583211388,2
78.328237925198,1
78.428237925198,0
78.549760333233,1
78.549760333233,0
78.715965453715,1
78.715965453715,0
80.661750515138,1
80.661750515138,0
80.725778897794,1
80.761750515138,0
80.948488628754,1
80.948488628754,0
81.124076673445,1
81.124076673445,0
81.451899815627,1
81.451899815627,0
81.51509413384,1
81.551899815627,0
82.098530897114,1
82.098530897114,0
82.289881371545,1
82.289881371545,0
83.351999970046,1
83.351999970046,0
83.619442157924,1
83.619442157924,0
84.871398049467,1
84.871398049467,0
84.904546750208,1
84.971398049467,0
85.026744474249,1
85.071398049467,0
85.616339237782,1
85.616339237782,0
86.032760995815,1
86.032760995815,0
86.4508097618,1
86.4508097618,0
87.452430023054,1
87.452430023054,0
87.606637443103,1
87.606637443103,0
87.962261411712,1
87.962261411712,0
88.332640886936,1
88.332640886936,0
89.575432065424,1
89.575432065424,0
89.624757219633,1
89.675432065424,0
90.894909473612,1
90.894909473612,0
91.323857294149,1
91.323857294149,0
91.367242535319,1
91.423857294149,0
92.691870499657,1
92.691870499657,0
92.854540707422,1
92.854540707422,0
93.046320814471,1
93.046320814471,0
93.051021189803,1
