Size-Vector Network.nodeRx.queue (#0 - General-0-20240511-21:12:58-90023),
0.598137252283,1
0.598137252283,0
1.047417446525,1
1.047417446525,0
1.675382825549,1
1.675382825549,0
2.605184931586,1
2.605184931586,0
3.066796497321,1
3.066796497321,0
4.042569165263,1
4.042569165263,0
4.436169735254,1
4.436169735254,0
5.375651762355,1
5.375651762355,0
5.65117600569,1
5.65117600569,0
6.139679218887,1
6.139679218887,0
6.658758869219,1
6.658758869219,0
6.90132295108,1
6.90132295108,0
7.189082549521,1
7.189082549521,0
7.36566211909,1
7.389082549521,0
8.477424330108,1
8.477424330108,0
8.577424330108,1
8.677424330108,0
10.164072804619,1
10.164072804619,0
10.32325087504,1
10.364072804619,0
10.565051927514,1
10.565051927514,0
10.889775101639,1
10.889775101639,0
11.674223160451,1
11.674223160451,0
12.510328760613,1
12.510328760613,0
12.886665817269,1
12.886665817269,0
13.21360710088,1
13.21360710088,0
13.63332352733,1
13.63332352733,0
13.882759531838,1
13.882759531838,0
15.181886574762,1
15.181886574762,0
16.086071206899,1
16.086071206899,0
16.186071206899,1
16.286071206899,0
16.328702882753,1
16.428702882753,2
16.486071206899,1
16.686071206899,0
16.896589649969,1
16.896589649969,0
16.996589649969,1
17.096589649969,0
17.136426512797,1
17.296589649969,0
18.030170344516,1
18.030170344516,0
19.605255308854,1
19.605255308854,0
20.358147438173,1
20.358147438173,0
20.458147438173,1
20.558147438173,0
21.453919993976,1
21.453919993976,0
22.474366101932,1
22.474366101932,0
24.396977036503,1
24.396977036503,0
24.717831622842,1
24.717831622842,0
25.520451401373,1
25.520451401373,0
26.327452438819,1
26.327452438819,0
26.636917168632,1
26.636917168632,0
27.004399379227,1
27.004399379227,0
27.762667366222,1
27.762667366222,0
28.330636837077,1
28.330636837077,0
28.430636837077,1
28.530636837077,0
29.031187892908,1
29.031187892908,0
29.541903830083,1
29.541903830083,0
29.978064427604,1
29.978064427604,0
30.078064427604,1
30.178064427604,0
30.440846597088,1
30.440846597088,0
31.888056836082,1
31.888056836082,0
32.598739176129,1
32.598739176129,0
32.967652822007,1
32.967652822007,0
33.067652822007,1
33.167652822007,0
33.291408762437,1
33.367652822007,0
33.612256113453,1
33.612256113453,0
33.765896289529,1
33.812256113453,0
33.868997930544,1
34.012256113453,0
34.61312534342,1
34.61312534342,0
35.280770435732,1
35.280770435732,0
35.585311647324,1
35.585311647324,0
35.707335892692,1
35.785311647324,0
36.127503245498,1
36.127503245498,0
36.227503245498,1
36.327503245498,0
36.327503245498,1
36.427503245498,2
36.527503245498,1
36.727503245498,0
36.886202418616,1
36.927503245498,0
36.986202418616,1
37.127503245498,0
37.440769001926,1
37.440769001926,0
37.566489967963,1
37.640769001926,0
38.046263956647,1
38.046263956647,0
38.290542481301,1
38.290542481301,0
39.72949999194,1
39.72949999194,0
40.893956679047,1
40.893956679047,0
41.466526156397,1
41.466526156397,0
41.765399194806,1
41.765399194806,0
41.988158442332,1
41.988158442332,0
42.46290573408,1
42.46290573408,0
42.750171937451,1
42.750171937451,0
43.913347468298,1
43.913347468298,0
44.511401368027,1
44.511401368027,0
44.611401368027,1
44.711401368027,0
44.711401368027,1
44.911401368027,0
46.344846468375,1
46.344846468375,0
46.89430270215,1
46.89430270215,0
47.423719767894,1
47.423719767894,0
47.979018490738,1
47.979018490738,0
48.079018490738,1
48.179018490738,0
48.190834876788,1
48.379018490738,0
48.412536891098,1
48.512536891098,2
48.579018490738,1
48.779018490738,0
49.176072580208,1
49.176072580208,0
49.365553562349,1
49.376072580208,0
49.833584342235,1
49.833584342235,0
50.059635372347,1
50.059635372347,0
50.256191650999,1
50.259635372347,0
50.678405547763,1
50.678405547763,0
50.778405547763,1
50.878405547763,0
50.986659281373,1
51.078405547763,0
51.489594783956,1
51.489594783956,0
53.716843207044,1
53.716843207044,0
55.313316528071,1
55.313316528071,0
55.413316528071,1
55.513316528071,0
55.896047288825,1
55.896047288825,0
56.013198048213,1
56.096047288825,0
56.517207670923,1
56.517207670923,0
56.617207670923,1
56.717207670923,0
59.285214618758,1
59.285214618758,0
59.814585976305,1
59.814585976305,0
60.250543903118,1
60.250543903118,0
60.396584169752,1
60.450543903118,0
60.664116508294,1
60.664116508294,0
60.97808729879,1
60.97808729879,0
61.299977799591,1
61.299977799591,0
61.44011630383,1
61.499977799591,0
61.928548340865,1
61.928548340865,0
62.028548340865,1
62.128548340865,0
62.221362683899,1
62.321362683899,2
62.328548340865,1
62.528548340865,0
62.841424539562,1
62.841424539562,0
63.375460638137,1
63.375460638137,0
63.566238559824,1
63.575460638137,0
63.666238559824,1
63.775460638137,0
64.393912361086,1
64.393912361086,0
64.50335265934,1
64.593912361086,0
65.996947605266,1
65.996947605266,0
66.226954584136,1
66.226954584136,0
66.770089274575,1
66.770089274575,0
67.630255103433,1
67.630255103433,0
67.730255103433,1
67.830255103433,0
67.830255103433,1
68.030255103433,0
68.175710800488,1
68.230255103433,0
69.08562026013,1
69.08562026013,0
69.645527443007,1
69.645527443007,0
69.745527443007,1
69.845527443007,0
71.482839016833,1
71.482839016833,0
73.357354746625,1
73.357354746625,0
74.410015397021,1
74.410015397021,0
74.726183695219,1
74.726183695219,0
75.082475491886,1
75.082475491886,0
76.963439134138,1
76.963439134138,0
77.063439134138,1
77.163439134138,0
77.456341845801,1
77.456341845801,0
77.756315289122,1
77.756315289122,0
78.428437925198,1
78.428437925198,0
78.528437925198,1
78.628437925198,0
78.628437925198,1
78.749960333233,2
78.828437925198,1
78.916165453715,2
79.028437925198,1
79.228437925198,0
80.861950515138,1
80.861950515138,0
80.961950515138,1
81.061950515138,0
81.148688628754,1
81.261950515138,0
81.324276673445,1
81.461950515138,0
81.652099815627,1
81.661950515138,0
81.752099815627,1
81.861950515138,0
82.298730897114,1
82.298730897114,0
82.490081371545,1
82.498730897114,0
83.552199970046,1
83.552199970046,0
83.819642157924,1
83.819642157924,0
85.071598049467,1
85.071598049467,0
85.171598049467,1
85.271598049467,0
85.271598049467,1
85.471598049467,0
85.816539237782,1
85.816539237782,0
86.232960995815,1
86.232960995815,0
86.6510097618,1
86.6510097618,0
87.652630023054,1
87.652630023054,0
87.806837443103,1
87.852630023054,0
88.162461411712,1
88.162461411712,0
88.532840886936,1
88.532840886936,0
89.775632065424,1
89.775632065424,0
89.875632065424,1
89.975632065424,0
91.095109473612,1
91.095109473612,0
91.524057294149,1
91.524057294149,0
91.624057294149,1
91.724057294149,0
92.892070499657,1
92.892070499657,0
93.054740707422,1
93.092070499657,0
93.246520814471,1
93.292070499657,0
93.346520814471,1
93.492070499657,0
93.801644144848,1
93.801644144848,0
94.725307970349,1
94.725307970349,0
94.825307970349,1
94.925307970349,0
95.316863654219,1
95.316863654219,0
95.946830559273,1
95.946830559273,0
96.867471795017,1
96.867471795017,0
97.03829887853,1
97.067471795017,0
97.192057740411,1
97.267471795017,0
97.293232959695,1
97.467471795017,0
97.546833021323,1
97.667471795017,0
97.988397542303,1
97.988397542303,0
98.390796242204,1
98.390796242204,0
98.490796242204,1
98.590796242204,0
98.590796242204,1
98.790796242204,0
99.373949133801,1
99.373949133801,0
99.604814581823,1
99.604814581823,0
99.704814581823,1
99.804814581823,0
99.804814581823,1
100.004814581823,0
100.25265567617,1
100.25265567617,0
100.674197192244,1
100.674197192244,0
100.831558022671,1
100.874197192244,0
101.439812349389,1
101.439812349389,0
102.104191286264,1
102.104191286264,0
102.274364655382,1
102.304191286264,0
103.911936244239,1
103.911936244239,0
104.195888320979,1
104.195888320979,0
104.338898807233,1
104.395888320979,0
105.04441101188,1
105.04441101188,0
105.473607495794,1
105.473607495794,0
105.725779399088,1
105.725779399088,0
106.174074834481,1
106.174074834481,0
107.305941622411,1
107.305941622411,0
107.730552028193,1
107.730552028193,0
108.239881393202,1
108.239881393202,0
108.366091389648,1
108.439881393202,0
109.476844838885,1
109.476844838885,0
111.002985667327,1
111.002985667327,0
111.572789649093,1
111.572789649093,0
111.869101662819,1
111.869101662819,0
112.167291359984,1
112.167291359984,0
113.104021299913,1
113.104021299913,0
115.025524591535,1
115.025524591535,0
115.626643875158,1
115.626643875158,0
115.726643875158,1
115.826643875158,0
115.864917265476,1
116.026643875158,0
116.593326544758,1
116.593326544758,0
117.433787647031,1
117.433787647031,0
117.699148895339,1
117.699148895339,0
117.951658269216,1
117.951658269216,0
118.514299277638,1
118.514299277638,0
119.579048975672,1
119.579048975672,0
119.722754213707,1
119.779048975672,0
120.15802212687,1
120.15802212687,0
120.345891548073,1
120.35802212687,0
121.413306773065,1
121.413306773065,0
123.095491999591,1
123.095491999591,0
123.685183466413,1
123.685183466413,0
124.129114171631,1
124.129114171631,0
124.775068806031,1
124.775068806031,0
125.313986248099,1
125.313986248099,0
125.661885978549,1
125.661885978549,0
126.042819864197,1
126.042819864197,0
127.605554043026,1
127.605554043026,0
127.736582663864,1
127.805554043026,0
128.252981169187,1
128.252981169187,0
128.504136568317,1
128.504136568317,0
128.779834563384,1
128.779834563384,0
129.262061346131,1
129.262061346131,0
129.728262786334,1
129.728262786334,0
130.050315140495,1
130.050315140495,0
130.150315140495,1
130.250315140495,0
130.377568888984,1
130.450315140495,0
130.557032496919,1
130.650315140495,0
131.186554255551,1
131.186554255551,0
131.726214354879,1
131.726214354879,0
131.89604672117,1
131.926214354879,0
132.067346533519,1
132.126214354879,0
132.309164376814,1
132.326214354879,0
132.7903519047,1
132.7903519047,0
133.481841507968,1
133.481841507968,0
133.761822043005,1
133.761822043005,0
134.81554584548,1
134.81554584548,0
134.91554584548,1
135.01554584548,0
135.01554584548,1
135.119718450074,2
135.21554584548,1
135.219718450074,2
135.41554584548,1
135.590124063657,2
135.61554584548,1
135.808638070544,2
135.81554584548,1
136.01554584548,0
136.255502609697,1
136.255502609697,0
136.656778602576,1
136.656778602576,0
137.083818470398,1
137.083818470398,0
137.183818470398,1
137.283818470398,0
137.630424872268,1
137.630424872268,0
139.366692611909,1
139.366692611909,0
139.894617416239,1
139.894617416239,0
140.088182462314,1
140.094617416239,0
140.370487712874,1
140.370487712874,0
140.495528460363,1
140.570487712874,0
141.629845456709,1
141.629845456709,0
141.729845456709,1
141.829845456709,0
141.935078711315,1
142.029845456709,0
142.035078711315,1
142.229845456709,0
142.272469794455,1
142.429845456709,0
144.34137467471,1
144.34137467471,0
145.453832003323,1
145.453832003323,0
145.604614959935,1
145.653832003323,0
146.425063748898,1
146.425063748898,0
146.810102178671,1
146.810102178671,0
147.41861192634,1
147.41861192634,0
147.715648675502,1
147.715648675502,0
147.815648675502,1
147.915648675502,0
147.915648675502,1
148.115648675502,0
149.080536980158,1
149.080536980158,0
149.29770980813,1
149.29770980813,0
149.924013570586,1
149.924013570586,0
150.240744879447,1
150.240744879447,0
153.623440139416,1
153.623440139416,0
154.543306531955,1
154.543306531955,0
154.643306531955,1
154.743306531955,0
155.799330220186,1
155.799330220186,0
156.812284628738,1
156.812284628738,0
156.912284628738,1
