Size-Vector Network.queue (#0 - General-0-20240511-21:12:58-90023),
0.498037252283,1
0.498037252283,0
0.947317446525,1
0.947317446525,0
1.575282825549,1
1.575282825549,0
2.505084931586,1
2.505084931586,0
2.966696497321,1
2.966696497321,0
3.942469165263,1
3.942469165263,0
4.336069735254,1
4.336069735254,0
5.275551762355,1
5.275551762355,0
5.55107600569,1
5.55107600569,0
6.039579218887,1
6.039579218887,0
6.558658869219,1
6.558658869219,0
6.80122295108,1
6.80122295108,0
7.088982549521,1
7.088982549521,0
7.26556211909,1
7.26556211909,0
8.377324330108,1
8.377324330108,0
8.477324330108,1
8.477324330108,0
10.063972804619,1
10.063972804619,0
10.22315087504,1
10.22315087504,0
10.464951927514,1
10.464951927514,0
10.789675101639,1
10.789675101639,0
11.574123160451,1
11.574123160451,0
12.410228760613,1
12.410228760613,0
12.786565817269,1
12.786565817269,0
13.11350710088,1
13.11350710088,0
13.53322352733,1
13.53322352733,0
13.782659531838,1
13.782659531838,0
15.081786574762,1
15.081786574762,0
15.985971206899,1
15.985971206899,0
16.085971206899,1
16.085971206899,0
16.228602882753,1
16.228602882753,0
16.328602882753,1
16.328602882753,0
16.796489649969,1
16.796489649969,0
16.896489649969,1
16.896489649969,0
17.036326512797,1
17.036326512797,0
17.930070344516,1
17.930070344516,0
19.505155308854,1
19.505155308854,0
20.258047438173,1
20.258047438173,0
20.358047438173,1
20.358047438173,0
21.353819993976,1
21.353819993976,0
22.374266101932,1
22.374266101932,0
24.296877036503,1
24.296877036503,0
24.617731622842,1
24.617731622842,0
25.420351401373,1
25.420351401373,0
26.227352438819,1
26.227352438819,0
26.536817168632,1
26.536817168632,0
26.904299379227,1
26.904299379227,0
27.662567366222,1
27.662567366222,0
28.230536837077,1
28.230536837077,0
28.330536837077,1
28.330536837077,0
28.931087892908,1
28.931087892908,0
29.441803830083,1
29.441803830083,0
29.877964427604,1
29.877964427604,0
29.977964427604,1
29.977964427604,0
30.340746597088,1
30.340746597088,0
31.787956836082,1
31.787956836082,0
32.498639176129,1
32.498639176129,0
32.867552822007,1
32.867552822007,0
32.967552822007,1
32.967552822007,0
33.191308762437,1
33.191308762437,0
33.512156113453,1
33.512156113453,0
33.665796289529,1
33.665796289529,0
33.768897930544,1
33.768897930544,0
34.51302534342,1
34.51302534342,0
35.180670435732,1
35.180670435732,0
35.485211647324,1
35.485211647324,0
35.607235892692,1
35.607235892692,0
36.027403245498,1
36.027403245498,0
36.127403245498,1
36.127403245498,0
36.227403245498,1
36.227403245498,0
36.327403245498,1
36.327403245498,0
36.786102418616,1
36.786102418616,0
36.886102418616,1
36.886102418616,0
37.340669001926,1
37.340669001926,0
37.466389967963,1
37.466389967963,0
37.946163956647,1
37.946163956647,0
38.190442481301,1
38.190442481301,0
39.62939999194,1
39.62939999194,0
40.793856679047,1
40.793856679047,0
41.366426156397,1
41.366426156397,0
41.665299194806,1
41.665299194806,0
41.888058442332,1
41.888058442332,0
42.36280573408,1
42.36280573408,0
42.650071937451,1
42.650071937451,0
43.813247468298,1
43.813247468298,0
44.411301368027,1
44.411301368027,0
44.511301368027,1
44.511301368027,0
44.611301368027,1
44.611301368027,0
46.244746468375,1
46.244746468375,0
46.79420270215,1
46.79420270215,0
47.323619767894,1
47.323619767894,0
47.878918490738,1
47.878918490738,0
47.978918490738,1
47.978918490738,0
48.090734876788,1
48.090734876788,0
48.312436891098,1
48.312436891098,0
48.412436891098,1
48.412436891098,0
49.075972580208,1
49.075972580208,0
49.265453562349,1
49.265453562349,0
49.733484342235,1
49.733484342235,0
49.959535372347,1
49.959535372347,0
50.156091650999,1
50.156091650999,0
50.578305547763,1
50.578305547763,0
50.678305547763,1
50.678305547763,0
50.886559281373,1
50.886559281373,0
51.389494783956,1
51.389494783956,0
53.616743207044,1
53.616743207044,0
55.213216528071,1
55.213216528071,0
55.313216528071,1
55.313216528071,0
55.795947288825,1
55.795947288825,0
55.913098048213,1
55.913098048213,0
56.417107670923,1
56.417107670923,0
56.517107670923,1
56.517107670923,0
59.185114618758,1
59.185114618758,0
59.714485976305,1
59.714485976305,0
60.150443903118,1
60.150443903118,0
60.296484169752,1
60.296484169752,0
60.564016508294,1
60.564016508294,0
60.87798729879,1
60.87798729879,0
61.199877799591,1
61.199877799591,0
61.34001630383,1
61.34001630383,0
61.828448340865,1
61.828448340865,0
61.928448340865,1
61.928448340865,0
62.121262683899,1
62.121262683899,0
62.221262683899,1
62.221262683899,0
62.741324539562,1
62.741324539562,0
63.275360638137,1
63.275360638137,0
63.466138559824,1
63.466138559824,0
63.566138559824,1
63.566138559824,0
64.293812361086,1
64.293812361086,0
64.40325265934,1
